Long,Lat,Depth,T,Sal,CDOM,Turb,TA,O2,pH,pCO2 ,Ar ,SPM,POC,DIC,nDIC,AOU,Temp K,CO2_Gas_conc_?mol_L
190.492,68.007,51,2.28,32.66,,,2341.0,278.21,7.74,524.00,1.18,4.67,,2249.00,2410.13,56.02,275.43,23.173
185.497,68.168,2,7.20,31.16,,,2240.0,316.87,8.20,185.00,2.88,0.35,,1959.00,2200.42,-16.43,280.35,8.038
185.497,68.168,5,7.20,31.16,,,2240.0,316.58,8.20,187.00,2.86,,,1961.00,2202.66,-16.14,280.35,8.125
185.497,68.168,10,7.14,31.58,,,2264.0,322.32,8.21,184.00,2.95,,,1976.00,2189.99,-22.40,280.29,7.996
185.497,68.168,15,6.25,32.26,,,2296.0,335.93,8.21,177.00,3.02,,,1999.00,2168.78,-31.31,279.40,7.716
185.497,68.168,25,1.46,32.93,,,2366.0,346.53,7.86,370.00,1.55,,,2227.00,2366.99,-6.03,274.61,16.411
185.497,68.168,45,0.74,33.23,,,2383.0,159.98,7.27,1712.00,0.40,3.41,,2446.00,2576.29,186.04,273.89,76.135
188.21,68.19,0,3.08,29.00,,,,350.90,8.35,187.32,1.63,0.56,,1544.44,1863.98,-14.02,276.23,8.260
188.21,68.19,5,3.02,29.49,,,,359.00,8.37,195.57,1.91,,,1709.95,2029.44,-22.87,276.17,8.625
188.21,68.19,20,1.44,32.77,,,,283.30,7.96,557.87,0.93,,,1958.67,2091.96,57.79,274.59,24.746
188.21,68.19,47,1.31,32.82,,,,229.90,7.79,849.18,0.63,2.02,,2007.30,2140.63,112.19,274.46,37.686
182.834,68.392,3.009,3.27,31.59,0.60,0.43,2172.7,292.72,8.16,279.37,1.78,7.48,,2010.24,2227.07,36.06,276.42,12.310
182.834,68.392,20.407,3.36,31.68,0.68,0.35,2174.9,292.62,8.17,269.89,1.83,,,2006.19,2216.75,35.21,276.51,11.889
182.834,68.392,31.345,3.47,31.75,0.94,1.08,2179.6,282.34,8.15,289.28,1.75,11.46,,2019.55,2225.98,44.42,276.62,12.738
182.095,68.692,2,3.45,24.67,,,1785.0,358.09,8.03,212.00,1.39,0.37,,1653.00,2345.16,-13.18,276.60,9.336
182.095,68.692,4,3.44,24.68,,,1792.0,356.80,8.00,232.00,1.30,,,1670.00,2368.31,-11.83,276.59,10.217
182.095,68.692,9,2.93,26.41,,,1966.0,384.25,8.06,203.00,1.71,,,1801.00,2386.79,-39.39,276.08,8.956
182.095,68.692,14,3.09,29.40,,,2126.0,378.25,8.05,225.00,1.92,,,1941.00,2310.71,-42.48,276.24,9.921
182.095,68.692,24,-0.52,32.70,,,2352.0,322.64,7.67,559.00,0.99,,,2284.00,2444.65,36.40,272.63,24.974
182.095,68.692,36,-0.90,32.85,,,2370.0,294.43,7.57,717.00,0.80,8.87,,2334.00,2486.76,67.81,272.25,32.078
182.08,68.70,0,-0.83,26.15,,,,389.00,8.43,146.91,1.57,1.15,,1528.10,2045.26,-7.90,272.32,6.571
182.08,68.70,15,-0.51,29.44,,,,398.80,8.43,153.30,1.92,,,1670.63,1986.14,-30.57,272.64,6.848
182.08,68.70,38,-1.66,33.02,,,,247.30,7.79,783.22,0.57,6.24,,1967.76,2085.75,121.88,271.49,35.139
185.164,68.717,1,7.34,32.06,,,2302.0,322.13,8.22,181.00,3.10,0.43,,1999.00,2182.31,-24.62,280.49,7.860
185.164,68.717,5,7.25,32.13,,,2303.0,319.52,8.21,183.00,3.07,,,2003.00,2181.92,-21.55,280.40,7.949
185.164,68.717,9,6.98,32.24,,,2315.0,326.62,8.23,176.00,3.15,,,2006.00,2177.73,-27.05,280.13,7.653
185.164,68.717,14,4.46,32.67,,,2333.0,387.13,8.21,164.00,3.07,,,2030.00,2174.78,-70.32,277.61,7.196
185.164,68.717,23,1.88,33.06,,,2371.0,405.15,7.99,265.00,2.06,,,2174.00,2301.57,-68.58,275.03,11.736
185.164,68.717,46,0.91,33.27,,,2397.0,173.89,7.34,1434.00,0.48,1.02,,2434.00,2560.57,170.52,274.06,63.732
189.5,68.751,2,7.80,31.12,,,2284.0,296.05,8.03,316.00,2.09,0.17,,2089.00,2349.45,0.40,280.95,13.700
189.5,68.751,5,7.80,31.12,,,2282.0,296.23,8.03,316.00,2.09,,,2087.00,2347.20,0.22,280.95,13.700
189.5,68.751,9,7.80,31.12,,,2282.0,296.82,8.03,313.00,2.11,,,2085.00,2344.96,-0.37,280.95,13.570
189.5,68.751,15,4.64,32.10,,,2308.0,308.21,8.04,262.00,2.19,,,2098.00,2287.54,8.58,277.79,11.488
189.5,68.751,24,3.62,32.39,,,2325.0,282.56,7.91,354.00,1.70,,,2169.00,2343.78,41.44,276.77,15.579
189.5,68.751,51,3.11,32.59,,,2337.0,282.13,7.84,422.00,1.45,6.42,,2210.00,2373.43,45.45,276.26,18.606
187.397,68.783,2,6.40,32.10,,,2304.0,326.31,8.19,191.00,2.91,0.55,,2020.00,2202.49,-22.39,279.55,8.322
187.397,68.783,5,6.40,32.10,,,2304.0,325.81,8.19,191.00,2.91,,,2020.00,2202.49,-21.89,279.55,8.322
